,upstream_bodyId,downstream_bodyId,upstream_roi,downstream_roi,ux,uy,uz,dx,dy,dz,upstream_confidence,downstream_confidence
66,635062078,5813078552,CA(R),CA(R),11889,13694,10268,11925,13699,10266,0.988,0.691225
67,635062078,5813078552,CA(R),CA(R),11936,13854,10417,11916,13861,10428,0.956,0.879823
68,635062078,5813078552,CA(R),CA(R),12150,13967,10351,12178,13957,10342,0.961,0.496092
69,635062078,5813078552,CA(R),CA(R),11949,13925,10480,11912,13925,10478,0.98,0.548698
70,635062078,5813078552,CA(R),CA(R),11699,13688,10145,11676,13702,10143,0.968,0.814321
71,635062078,5813078552,CA(R),CA(R),11881,13748,10172,11900,13743,10149,0.967,0.4650913
72,635062078,5813078552,CA(R),CA(R),13579,12275,11289,13561,12242,11297,0.96,0.347863
73,635062078,5813078552,CA(R),CA(R),13429,12523,11412,13411,12486,11426,0.969,0.651305
74,635062078,5813078552,CA(R),CA(R),13352,12501,11421,13386,12479,11425,0.981,0.4578849
75,635062078,5813078552,CA(R),CA(R),13539,12346,11262,13522,12362,11263,0.963,0.600629
76,635062078,5813078552,CA(R),CA(R),13529,12350,11291,13526,12376,11288,0.975,0.960779
77,635062078,5813078552,CA(R),CA(R),13703,12332,11327,13707,12300,11321,0.984,0.334973
78,635062078,5813078552,CA(R),CA(R),13580,12566,11186,13551,12582,11191,0.979,0.463273
79,635062078,5813078552,CA(R),CA(R),13797,12081,11082,13801,12086,11111,0.963,0.669789
80,635062078,5813078552,CA(R),CA(R),13763,12311,11098,13795,12290,11101,0.985,0.336633
81,635062078,5813078552,CA(R),CA(R),13739,12029,11142,13751,12044,11157,0.981,0.96897
82,635062078,5813078552,CA(R),CA(R),13727,11973,11192,13706,11997,11218,0.95,0.282623
83,631396453,5813078552,bL(R),bL(R),24088,29361,20782,24075,29349,20796,0.976,0.73766
84,631059587,5813078552,bL(R),bL(R),22596,28591,20420,22581,28566,20413,0.983,0.45019665
85,630722830,5813078552,aL(R),aL(R),15801,30145,15860,15793,30172,15849,0.887,0.772467
86,630722830,5813078552,bL(R),bL(R),21403,29041,20847,21396,29037,20827,0.951,0.949167
87,630381662,5813078552,SIP(R),SIP(R),15865,27875,10997,15860,27860,10998,0.779,0.993
88,612668833,5813078552,PED(R),PED(R),13044,22156,16944,13055,22158,16932,0.948,0.902481
89,612668833,5813078552,PED(R),PED(R),13044,22117,16930,13048,22120,16914,0.917,0.882408
90,612668833,5813078552,PED(R),PED(R),13001,22908,17197,13019,22920,17191,0.81,0.369572
91,612638791,5813078552,bL(R),bL(R),20678,29419,20283,20668,29418,20298,0.897,0.701109
92,611646132,5813078552,aL(R),aL(R),15923,27843,6026,15911,27817,6016,0.997,0.78344
93,611646132,5813078552,bL(R),bL(R),17620,31584,20514,17605,31573,20511,0.94,0.777362
94,611646132,5813078552,aL(R),aL(R),16290,29865,7032,16333,29849,7039,0.994,0.722723
95,611646132,5813078552,aL(R),aL(R),15609,30183,16573,15607,30215,16570,0.995,0.414721
96,611304789,5813078552,bL(R),bL(R),22673,29922,20266,22673,29925,20254,0.968,0.915965
97,611304789,5813078552,aL(R),aL(R),15939,30818,18424,15938,30833,18432,0.988,0.988444
98,611304789,5813078552,aL(R),aL(R),14108,30652,17723,14102,30656,17733,0.962,0.992978
99,603422422,5813078552,aL(R),aL(R),15698,30192,15697,15717,30178,15718,0.986,0.642135
100,600365719,5813078552,PED(R),PED(R),13030,26628,17932,13046,26623,17935,0.945,0.593828
101,600365719,5813078552,PED(R),PED(R),12994,22984,17223,13017,22981,17219,0.968,0.552765
102,600365719,5813078552,bL(R),bL(R),16612,32219,21460,16623,32230,21457,0.922,0.999927
103,5901205770,5813078552,bL(R),bL(R),21302,29019,20833,21309,29032,20821,0.954,0.358691
104,5901205770,5813078552,CA(R),CA(R),12214,12567,10243,12189,12577,10270,0.756,0.503691
105,5901205770,5813078552,aL(R),aL(R),15787,29516,10546,15803,29514,10548,0.948,0.533707
106,582139830,5813078552,bL(R),bL(R),22694,28586,20362,22700,28586,20378,0.973,0.982619
107,5813110238,5813078552,aL(R),aL(R),17004,27130,6466,16999,27110,6469,0.991,0.874804
108,5813110238,5813078552,PED(R),PED(R),13071,21143,16708,13077,21143,16698,0.997,0.990189
109,5813110238,5813078552,PED(R),PED(R),13070,21871,16851,13073,21875,16840,0.987,0.946142
110,5813110238,5813078552,aL(R),aL(R),15058,30686,17385,15049,30684,17403,0.927,0.784989
111,5813109913,5813078552,aL(R),aL(R),16273,27611,6884,16244,27609,6865,0.991,0.304426
112,5813109913,5813078552,bL(R),bL(R),15829,32771,20482,15825,32785,20488,0.945,0.563172
113,5813109913,5813078552,aL(R),aL(R),16177,27596,6940,16170,27598,6924,0.997,0.916305
114,5813105172,5813078552,aL(R),aL(R),16452,29586,12819,16464,29594,12821,0.959,0.663955
115,5813105172,5813078552,aL(R),aL(R),17998,28325,6355,17995,28324,6365,0.972,0.962452
116,5813105172,5813078552,bL(R),bL(R),22037,30716,20027,22048,30727,20014,0.983,0.981897
117,5813105172,5813078552,bL(R),bL(R),19252,30600,20012,19249,30611,20019,0.827,0.992993
118,5813105172,5813078552,bL(R),bL(R),17881,31343,20226,17881,31347,20237,0.997,0.647832
119,5813105172,5813078552,bL(R),bL(R),24109,28321,20361,24109,28321,20347,0.943,0.999984
120,5813105172,5813078552,aL(R),aL(R),16174,29254,6115,16180,29281,6101,0.935,0.678363
121,5813105172,5813078552,aL(R),aL(R),16286,27587,6725,16279,27594,6741,0.969,0.912923
122,5813105172,5813078552,bL(R),bL(R),23970,28780,20632,23977,28788,20616,0.888,0.758327
123,5813105172,5813078552,PED(R),PED(R),12991,22697,17194,12987,22710,17177,0.996,0.875468
124,5813105172,5813078552,PED(R),PED(R),13078,20036,16497,13100,20030,16509,0.994,0.81355
125,5813105172,5813078552,aL(R),aL(R),15815,27803,5949,15823,27808,5960,0.852,0.987475
126,5813098738,5813078552,aL(R),aL(R),15840,28025,5963,15844,28025,5948,0.893,0.746306
127,5813093171,5813078552,bL(R),bL(R),23315,28359,20364,23300,28374,20382,0.94,0.692098
128,5813091211,5813078552,aL(R),aL(R),17626,29762,5649,17638,29770,5655,0.988,0.759194
129,5813088767,5813078552,PED(R),PED(R),13122,25396,17786,13119,25392,17799,0.998,0.674199
130,5813088767,5813078552,PED(R),PED(R),13109,26443,17994,13124,26438,17982,0.875,0.936154
131,5813088058,5813078552,aL(R),aL(R),18006,28338,6412,17999,28347,6408,0.996,0.947267
132,5813088058,5813078552,bL(R),bL(R),15158,31403,20524,15165,31410,20537,0.84,0.901546
133,5813082811,5813078552,bL(R),bL(R),15051,31797,20336,15051,31832,20349,0.982,0.771199
134,5813082811,5813078552,bL(R),bL(R),15163,31507,20507,15140,31491,20512,0.98,0.970351
135,5813078555,5813078552,CA(R),CA(R),12250,12628,10355,12240,12599,10338,0.954,0.623576
136,5813078053,5813078552,bL(R),bL(R),22127,30808,20038,22105,30818,20041,0.941,0.998787
137,5813077616,5813078552,aL(R),aL(R),15620,30196,15790,15634,30209,15786,0.937,0.912996
138,5813069089,5813078552,CA(R),CA(R),15263,12668,10510,15254,12644,10517,0.96,0.965103
139,5813069089,5813078552,CA(R),CA(R),15236,12573,10533,15243,12599,10524,0.987,0.730264
140,5813069089,5813078552,CA(R),CA(R),15304,12294,10395,15291,12287,10406,0.895,0.665203
141,5813069089,5813078552,CA(R),CA(R),15248,12547,10464,15244,12594,10480,0.945,0.45064497
142,5813069089,5813078552,CA(R),CA(R),15311,12485,10271,15302,12463,10254,0.981,0.899661
143,5813069089,5813078552,CA(R),CA(R),15437,12601,10461,15415,12611,10446,0.963,0.937668
144,5813069089,5813078552,CA(R),CA(R),15336,12605,10472,15362,12624,10464,0.815,0.807784
145,5813069089,5813078552,CA(R),CA(R),15373,12172,10209,15351,12159,10216,0.948,0.918255
146,5813069089,5813078552,CA(R),CA(R),15097,12373,10495,15072,12366,10466,0.994,0.618613
147,5813069089,5813078552,CA(R),CA(R),15412,12566,10420,15387,12589,10426,0.95,0.632391
148,5813069089,5813078552,CA(R),CA(R),15096,12383,10453,15071,12371,10464,0.963,0.75584
149,5813069089,5813078552,CA(R),CA(R),15352,12508,10402,15354,12530,10389,0.957,0.883277
